action_delta_mean,ee_acc_p2p,ee_acc_peak,ee_acc_rms,ee_jerk_rms,episode,final_error_m,hold_5mm,hold_action_delta_mean,hold_ee_acc_p2p,hold_ee_acc_rms,hold_ee_jerk_rms,hold_joint_acc_rms,hold_vibration_index,joint_acc_rms,mean_error_m,min_error_m,qualified_action_delta_mean,qualified_ee_acc_p2p,qualified_ee_acc_rms,qualified_ee_jerk_rms,qualified_joint_acc_rms,qualified_vibration_index,reward_sum,success_10mm,success_20mm,success_30mm,success_50mm,success_5mm,vibration_index
0.03470567408608351,15.616999159042258,13.900636987284681,2.5762944240230294,62.812765007264076,0,0.0009917905958948534,1.0,1.1695470319341147e-06,2.358320926853966e-05,1.2485939853439176e-05,0.0002864737036119405,0.0,7.1226144741696116e-06,0.0,0.00429184702496172,0.0009086588017864296,1.1695470319341147e-06,2.358320926853966e-05,1.2485939853439176e-05,0.0002864737036119405,0.0,7.1226144741696116e-06,47.850271106766996,1.0,1.0,1.0,1.0,1.0,1.4853417644934308
0.06139061462399808,32.288487525923316,25.72463336833932,5.368555733994535,125.1970378192769,1,0.0014148704917883225,1.0,1.3217872286904164e-06,8.056752744064955e-05,2.596329331497426e-05,0.0005328208436410348,0.0,1.4885849278285629e-05,0.0,0.011206668660033966,0.0013135499422827226,1.3217872286904164e-06,8.056752744064955e-05,2.596329331497426e-05,0.0005328208436410348,0.0,1.4885849278285629e-05,46.55730566319931,1.0,1.0,1.0,1.0,1.0,3.096115028255335
0.05896220941077397,42.357390026257136,51.656514365868276,8.35430595964481,171.74206560315594,2,0.0010346551088703689,1.0,2.9946216611238737e-06,4.9958720990020804e-05,1.5140010303019611e-05,0.0002785795074986906,0.0,8.30707878998522e-06,0.0,0.01789147608627674,0.0010079483140427261,2.9946216611238737e-06,4.9958720990020804e-05,1.5140010303019611e-05,0.0002785795074986906,0.0,8.30707878998522e-06,44.31785610837832,1.0,1.0,1.0,1.0,1.0,4.81449030982625
0.03561389533236724,41.0637891687876,29.86424741406095,4.7748991175436855,123.69032619239216,3,0.0017965035304168962,1.0,1.060253542329253e-05,4.161169212159724e-06,4.143179018499752e-06,4.117570821580132e-05,0.0,1.2720630362957437e-06,0.0,0.005105215388212293,0.0017965035304168962,1.060253542329253e-05,4.161169212159724e-06,4.143179018499752e-06,4.117570821580132e-05,0.0,1.2720630362957437e-06,46.80491490250915,1.0,1.0,1.0,1.0,1.0,2.7516017916805207
0.060046009853338196,39.22082369049469,28.611099285941172,5.097269042254859,105.34450578690445,4,0.0014990572164019732,1.0,2.281752723181954e-06,0.00030649853277967155,0.00012028317835101183,0.003148071426278678,0.0,6.773380935009939e-05,0.0,0.011520748808616574,0.0013502843150618863,2.281752723181954e-06,0.00030649853277967155,0.00012028317835101183,0.003148071426278678,0.0,6.773380935009939e-05,45.549991825115825,1.0,1.0,1.0,1.0,1.0,2.938450229428029
0.038576703915733875,36.326936878948864,32.41824432207806,5.303810304028584,123.16530579280816,5,0.0016592628406330119,1.0,2.3082823207580414e-06,1.2842678705729591e-05,7.288633837932595e-06,0.0001485354692116512,0.0,4.0465991395005735e-06,0.0,0.005526270552710447,0.000569779420643198,2.3082823207580414e-06,1.2842678705729591e-05,7.288633837932595e-06,0.0001485354692116512,0.0,4.0465991395005735e-06,46.79775586857893,1.0,1.0,1.0,1.0,1.0,3.056653419978225
0.03494011776722531,39.32734247818176,36.115435738955746,5.73895145440374,129.43816885463613,6,0.001340564200705842,1.0,5.256531231721868e-06,9.640219398363101e-05,3.283306466488785e-05,0.0007408266322862409,0.0,1.871980609535043e-05,0.0,0.007686680935041892,0.001340564200705842,5.256531231721868e-06,9.640219398363101e-05,3.283306466488785e-05,0.0007408266322862409,0.0,1.871980609535043e-05,46.730458156474164,1.0,1.0,1.0,1.0,1.0,3.3070730814402802
0.03795406710041915,24.431801943626912,18.902359563814915,3.7931415984522947,78.54056742129741,7,0.0008951414712605257,1.0,3.988814958510699e-07,1.5872367278975984e-05,8.01544989763761e-06,0.00020504348358128376,0.0,4.616256991855045e-06,0.0,0.005479485790718344,0.0008873819941338155,3.988814958510699e-07,1.5872367278975984e-05,8.01544989763761e-06,0.00020504348358128376,0.0,4.616256991855045e-06,46.80803090021878,1.0,1.0,1.0,1.0,1.0,2.187356144962311
0.047811647190944155,30.50950757657275,25.268029072387296,4.867378073738304,106.8000674085987,8,0.0012764239277880706,1.0,1.945702897478914e-06,1.1310118624173532e-05,6.064096787210722e-06,0.00014223404420665852,0.0,3.4639016985643658e-06,0.0,0.007541458667504169,0.0012764239277880706,1.945702897478914e-06,1.1310118624173532e-05,6.064096787210722e-06,0.00014223404420665852,0.0,3.4639016985643658e-06,45.7048176498571,1.0,1.0,1.0,1.0,1.0,2.8065400517426204
0.06463774427028916,43.96090044696824,44.860421768175044,7.709270318986094,159.8099697200322,9,0.0025489497013103995,1.0,6.233840481385301e-06,1.0940112223608644e-05,5.35995339510389e-06,0.00010066239617419564,0.0,2.896038384130909e-06,0.0,0.011062281570642261,0.0011991152204165367,6.233840481385301e-06,1.0940112223608644e-05,5.35995339510389e-06,0.00010066239617419564,0.0,2.896038384130909e-06,44.5463670333127,1.0,1.0,1.0,1.0,1.0,4.443700324699863
0.03823667987587185,37.21778465064007,32.321003987290176,5.233953962487868,123.08448395284415,10,0.001259754091865792,1.0,1.774571208819484e-06,2.3025554383138114e-05,1.0886745768260276e-05,0.00024071411644170862,0.0,6.086708528554849e-06,0.0,0.006354423052030318,0.0011008699212764434,1.774571208819484e-06,2.3025554383138114e-05,1.0886745768260276e-05,0.00024071411644170862,0.0,6.086708528554849e-06,47.77702136266478,1.0,1.0,1.0,1.0,1.0,3.0162816977243647
0.04307636645236063,39.64842230773819,30.565245581059543,5.0853117577147176,123.19488767004033,11,0.0015778592238578381,1.0,3.436031785052696e-06,6.105635351627527e-06,3.89505644152491e-06,9.594650957605116e-05,0.0,2.059101010798759e-06,0.0,0.005446679498567055,0.0015778592238578381,3.436031785052696e-06,6.105635351627527e-06,3.89505644152491e-06,9.594650957605116e-05,0.0,2.059101010798759e-06,47.78563633163634,1.0,1.0,1.0,1.0,1.0,2.930904291330139
0.07782661400468928,41.57723595328588,41.50719091856316,7.223371313724689,164.3784832972777,12,0.0015887197158122035,1.0,2.0418851135121004e-06,1.836423162589906e-05,8.111886887471304e-06,0.00019753047267025283,0.0,4.601806366317731e-06,0.0,0.012954414410014686,0.0014076578550423432,2.0418851135121004e-06,1.836423162589906e-05,8.111886887471304e-06,0.00019753047267025283,0.0,4.601806366317731e-06,45.4709218824419,1.0,1.0,1.0,1.0,1.0,4.163792287233584
0.042197922617839605,37.61370449375663,30.212045935195725,4.855634215785049,107.66562388594656,13,0.0015865781007465064,1.0,2.1163418425379374e-06,7.4329054903260355e-06,4.0465488605828e-06,0.00010077470096388158,0.0,2.188444915326889e-06,0.0,0.007657648582730036,0.0015865781007465064,2.1163418425379374e-06,7.4329054903260355e-06,4.0465488605828e-06,0.00010077470096388158,0.0,2.188444915326889e-06,45.71621612679366,1.0,1.0,1.0,1.0,1.0,2.7981810287658058
0.05889265372452735,39.612788064859245,36.07166241166319,6.071423431507412,129.50425196427233,14,0.0018751982232891975,1.0,2.44105641982368e-05,1.4297191663789522e-05,9.523612653602554e-06,0.0001857847999158546,0.0,4.270822190995091e-06,0.0,0.009348805483527498,0.001069887216291473,2.44105641982368e-05,1.4297191663789522e-05,9.523612653602554e-06,0.0001857847999158546,0.0,4.270822190995091e-06,44.631253596494425,1.0,1.0,1.0,1.0,1.0,3.499386562622137
0.037905119199406145,40.05836001549331,36.61898329053672,6.112209050747384,136.72919858814348,15,0.0016963606368078166,1.0,1.0232576848025267e-06,1.4122862088430503e-05,6.502989957172424e-06,0.00016258275467987486,0.0,3.7284880221980926e-06,0.0,0.006182003371382169,0.00042837521760565034,1.0232576848025267e-06,1.4122862088430503e-05,6.502989957172424e-06,0.00016258275467987486,0.0,3.7284880221980926e-06,46.779595235412664,1.0,1.0,1.0,1.0,1.0,3.5227930021410936
0.0953696992933926,30.114597304126157,22.911834565656775,5.510948640447075,130.22641454921163,16,0.0010292723607263187,1.0,2.7064706614155424e-07,2.333983557894118e-06,9.634769943978304e-07,1.842597046796085e-05,0.0,5.415998075730623e-07,0.0,0.012221019284058027,0.0010292723607263187,2.7064706614155424e-07,2.333983557894118e-06,9.634769943978304e-07,1.842597046796085e-05,0.0,5.415998075730623e-07,45.45963411835613,1.0,1.0,1.0,1.0,1.0,3.179103550307746
0.03673655782008175,26.509748528663447,32.35297552840096,4.968782675909053,132.56535146621886,17,0.0014619466462785827,1.0,5.334646520774217e-07,1.7737515591844463e-05,8.431932562694548e-06,0.0002026220662655719,0.0,4.794388321497263e-06,0.0,0.00507471153630602,0.001228872582680527,5.334646520774217e-07,1.7737515591844463e-05,8.431932562694548e-06,0.0002026220662655719,0.0,4.794388321497263e-06,47.806725500216366,1.0,1.0,1.0,1.0,1.0,2.862877008287141
0.045245682703114326,37.34771847331555,34.582724971699506,5.724667166665582,122.95140614531137,18,0.0017922701315334873,1.0,4.1203540988152284e-05,0.0005667536915889855,0.00025634563101208893,0.004693698868217272,0.0,0.0001415691571131142,0.0,0.011945958282665129,0.001792259109639569,4.1203540988152284e-05,0.0005667536915889855,0.00025634563101208893,0.004693698868217272,0.0,0.0001415691571131142,42.54483225382198,1.0,1.0,1.0,1.0,1.0,3.299336249055668
0.031678980658948454,38.290530164945515,28.980217216359534,4.876913671981485,102.30522797970502,19,0.0021194658879128553,1.0,6.746937667670032e-07,7.631282345172031e-06,3.8001507399930824e-06,9.55730853835374e-05,0.0,2.1867290772327296e-06,0.0,0.00665933652891693,0.0016957563836576316,6.746937667670032e-07,7.631282345172031e-06,3.8001507399930824e-06,9.55730853835374e-05,0.0,2.1867290772327296e-06,46.75374340432345,1.0,1.0,1.0,1.0,1.0,2.8109051291542095
0.041098655154300924,43.17960777700098,34.716404051481916,5.606721806084784,135.91084491473202,20,0.001071036222145743,1.0,5.743581269297559e-06,1.115573505750864e-05,5.6970445923520835e-06,0.000126913326681642,0.0,3.070723923471074e-06,0.0,0.005125826694339214,0.001071036222145743,5.743581269297559e-06,1.115573505750864e-05,5.6970445923520835e-06,0.000126913326681642,0.0,3.070723923471074e-06,47.81315284220415,1.0,1.0,1.0,1.0,1.0,3.2310723935355234
0.052958900624535295,41.43926060454908,37.0449879722535,6.266654590708797,135.4345454170572,21,0.0022793304453258218,1.0,2.9042084888295175e-05,2.6768836035580848e-05,1.5548483592142535e-05,0.0003417435152197229,0.0,8.241957044008792e-06,0.0,0.011081490518728225,0.0020252098977707714,2.9042084888295175e-05,2.6768836035580848e-05,1.5548483592142535e-05,0.0003417435152197229,0.0,8.241957044008792e-06,43.57423708649738,1.0,1.0,1.0,1.0,1.0,3.611973421921151
0.03880531579916878,41.37964947229606,39.32845706607559,6.4691241796862995,129.76837121083747,22,0.0017317363849675953,1.0,5.214301368046604e-07,2.009553559224154e-05,1.125441185754978e-05,0.00024692451387480174,0.0,6.435424913072462e-06,0.0,0.010813696778596473,0.0012661104764848392,5.214301368046604e-07,2.009553559224154e-05,1.125441185754978e-05,0.00024692451387480174,0.0,6.435424913072462e-06,45.608632200390275,1.0,1.0,1.0,1.0,1.0,3.728310657814646
0.048496647744025276,41.94639831551082,33.658583901534946,5.707065747555097,128.87555493516825,23,0.001118781645799292,1.0,1.598094038992026e-05,0.00040230942381174747,0.00011926689229586055,0.0026727728823652225,0.0,6.885857129648818e-05,0.0,0.009582693033291116,0.0011169344892478547,1.598094038992026e-05,0.00040230942381174747,0.00011926689229586055,0.0026727728823652225,0.0,6.885857129648818e-05,43.63711525156079,1.0,1.0,1.0,1.0,1.0,3.289463416970408
0.054008287069953344,47.53467057396258,42.11268030922249,7.114871490435415,143.36452854889345,24,0.0012754601297091058,1.0,0.0008198705995977007,0.012962001732370321,0.005031305030322536,0.11914684537638297,0.0,0.002904485729931995,0.0,0.01217746172853664,0.0011240536322223273,0.0008198705995977007,0.012962001732370321,0.005031305030322536,0.11914684537638297,0.0,0.002904485729931995,45.536200883742985,1.0,1.0,1.0,1.0,1.0,4.1008491329985235
0.039920943289642054,48.051188394719475,43.35517989170547,7.675948277437915,152.64748589983253,25,0.0037175976999735544,1.0,1.4316952668893528e-05,0.003171035318694875,0.0011131092604429937,0.02330380735537234,0.0,0.0006249318424152094,0.0,0.018118860710319432,0.003669137734657408,1.4316952668893528e-05,0.003171035318694875,0.0011131092604429937,0.02330380735537234,0.0,0.0006249318424152094,44.29983564832591,1.0,1.0,1.0,1.0,1.0,4.424910483392832
0.05968560420914935,45.97914795997719,44.136042601223394,7.472710594671936,153.49295210872498,26,0.0024321923431401857,1.0,1.1993842381737177e-05,0.0010840553927323302,0.000510584643268878,0.01216735920955466,0.0,0.00028682958630451855,0.0,0.011336322896450226,0.002169641749823784,1.1993842381737177e-05,0.0010840553927323302,0.000510584643268878,0.01216735920955466,0.0,0.00028682958630451855,44.56313782687802,1.0,1.0,1.0,1.0,1.0,4.307132571192445
0.06307827427706407,41.98916986242533,40.00602622378815,6.945206071505223,143.81618415984053,27,0.002595031652598659,1.0,4.3693271969177597e-05,3.7895989879876556e-05,2.02102356586455e-05,0.0004801801731943869,0.0,1.0955960112866534e-05,0.0,0.016374230650231913,0.001166987945248628,4.3693271969177597e-05,3.7895989879876556e-05,2.02102356586455e-05,0.0004801801731943869,0.0,1.0955960112866534e-05,41.355599767674065,1.0,1.0,1.0,1.0,1.0,4.003417519002512
0.04013490515881278,44.240535267232275,51.63145643257037,8.379308647530697,172.69048632178138,28,0.0023002356890257244,1.0,4.07577901595249e-07,5.361061510990842e-06,1.893749536982494e-06,4.610840520264232e-05,0.0,1.0822801301220082e-06,0.0,0.014604379224249578,0.002065155730906586,4.07577901595249e-07,5.361061510990842e-06,1.893749536982494e-06,4.610840520264232e-05,0.0,1.0822801301220082e-06,45.46366125485329,1.0,1.0,1.0,1.0,1.0,4.828960699978696
0.043238495610172886,42.56269778383749,50.230316318707985,8.1983417779452,176.57947288873575,29,0.0020784412082623595,1.0,1.1311479449364501e-06,6.954135331452113e-06,2.8230168933909545e-06,5.787180311798266e-05,0.0,1.5454539125058855e-06,0.0,0.011164790016821094,0.0020784412082623595,1.1311479449364501e-06,6.954135331452113e-06,2.8230168933909545e-06,5.787180311798266e-05,0.0,1.5454539125058855e-06,46.588732413061166,1.0,1.0,1.0,1.0,1.0,4.724767962823413
