action_delta_mean,ee_acc_p2p,ee_acc_peak,ee_acc_rms,ee_jerk_rms,episode,final_error_m,hold_5mm,hold_action_delta_mean,hold_ee_acc_p2p,hold_ee_acc_rms,hold_ee_jerk_rms,hold_joint_acc_rms,hold_vibration_index,joint_acc_rms,mean_error_m,min_error_m,qualified_action_delta_mean,qualified_ee_acc_p2p,qualified_ee_acc_rms,qualified_ee_jerk_rms,qualified_joint_acc_rms,qualified_vibration_index,reward_sum,success_10mm,success_20mm,success_30mm,success_50mm,success_5mm,vibration_index
0.05557554638427173,15.265589908216969,10.735345426868962,2.809979972174699,62.91818306352528,0,0.0011883542232399176,1.0,7.018040640708712e-07,1.7762939667975385e-05,9.497079340770818e-06,0.00023562284941846485,0.0,5.4688772783884275e-06,0.0,0.005789055941555833,0.0003239605213647598,7.018040640708712e-07,1.7762939667975385e-05,9.497079340770818e-06,0.00023562284941846485,0.0,5.4688772783884275e-06,46.74791697463572,1.0,1.0,1.0,1.0,1.0,1.6212043041590383
0.055575801348048,15.2660238843166,10.735345426868962,2.810003543107051,62.918807892529216,1,0.001188353261505952,1.0,6.485567692703897e-07,1.7738378860785495e-05,9.383041743666303e-06,0.00023699553962710425,0.0,5.416273099566406e-06,0.0,0.005789061125624517,0.0003239605213647598,6.485567692703897e-07,1.7738378860785495e-05,9.383041743666303e-06,0.00023699553962710425,0.0,5.416273099566406e-06,46.74791702828365,1.0,1.0,1.0,1.0,1.0,1.621217922192303
0.05557516859719479,15.265032409245304,10.735345426868962,2.8099496933096217,62.91738023978934,2,0.0011883527905051639,1.0,6.902071268510953e-07,1.703622846805344e-05,9.174495214967356e-06,0.00023560280722795008,0.0,5.292340467055634e-06,0.0,0.0057890487434043006,0.0003239605213647598,6.902071268510953e-07,1.703622846805344e-05,9.174495214967356e-06,0.00023560280722795008,0.0,5.292340467055634e-06,46.747916850924824,1.0,1.0,1.0,1.0,1.0,1.6211868102021718
0.055576361711052596,15.266885617729962,10.735345426868962,2.8100503424158574,62.92004821158326,3,0.00118835183256886,1.0,6.609394315737319e-07,1.626555006642065e-05,8.983327188035805e-06,0.00022713960190435923,0.0,5.177224724455563e-06,0.0,0.005789070122621921,0.0003239605213647598,6.609394315737319e-07,1.626555006642065e-05,8.983327188035805e-06,0.00022713960190435923,0.0,5.177224724455563e-06,46.74791719294787,1.0,1.0,1.0,1.0,1.0,1.6212449609595558
0.05557560361649385,15.26568489498348,10.735345426868962,2.8099851207467856,62.91831946797794,4,0.0011883496356263619,1.0,6.932875247106352e-07,1.619411929488107e-05,8.873025849759424e-06,0.00022054125261041163,0.0,5.121204634680655e-06,0.0,0.005789057371715039,0.0003239605213647598,6.932875247106352e-07,1.619411929488107e-05,8.873025849759424e-06,0.00022054125261041163,0.0,5.121204634680655e-06,46.747916942919495,1.0,1.0,1.0,1.0,1.0,1.6212072786843503
0.05557468722097081,15.264235889177936,10.735345426868962,2.809906455880312,62.9162335497981,5,0.0011883570612289955,1.0,7.52280676674815e-07,1.7600776025805723e-05,9.510341749814915e-06,0.00023978460776149827,0.0,5.490089158732481e-06,0.0,0.005789040942332303,0.0003239605213647598,7.52280676674815e-07,1.7600776025805723e-05,9.510341749814915e-06,0.00023978460776149827,0.0,5.490089158732481e-06,46.74791669230648,1.0,1.0,1.0,1.0,1.0,1.621161829332689
0.055575040935968045,15.26477222904409,10.735345426868962,2.8099355756920565,62.91700533913566,6,0.001188353563764477,1.0,7.715956390957409e-07,1.6924062954231982e-05,9.435397748177332e-06,0.00023906090904715022,0.0,5.445760241576239e-06,0.0,0.005789046344294963,0.0003239605213647598,7.715956390957409e-07,1.6924062954231982e-05,9.435397748177332e-06,0.00023906090904715022,0.0,5.445760241576239e-06,46.747916804935095,1.0,1.0,1.0,1.0,1.0,1.6211786535553532
0.05557595700532199,15.266253479026835,10.735345426868962,2.8100160208770673,62.91913826422844,7,0.0011883508987247733,1.0,6.710393090435953e-07,1.7802311903402286e-05,9.82344966646163e-06,0.00024396049374093555,0.0,5.670994018830529e-06,0.0,0.005789062622806885,0.0003239605213647598,6.710393090435953e-07,1.7802311903402286e-05,9.82344966646163e-06,0.00024396049374093555,0.0,5.670994018830529e-06,46.74791707492881,1.0,1.0,1.0,1.0,1.0,1.6212251312517327
0.05557549686230919,15.26551148408842,10.735345426868962,2.8099756956718474,62.91807003297242,8,0.001188354116419678,1.0,7.341183239037946e-07,1.862876593157958e-05,9.413242338662688e-06,0.0002382160674091613,0.0,5.431885842025633e-06,0.0,0.005789054115113101,0.0003239605213647598,7.341183239037946e-07,1.862876593157958e-05,9.413242338662688e-06,0.0002382160674091613,0.0,5.431885842025633e-06,46.7479169531343,1.0,1.0,1.0,1.0,1.0,1.6212018333165663
0.05557525565807225,15.265138403967825,10.735345426868962,2.809955440739587,62.91753252538388,9,0.0011883541940830482,1.0,7.226102298249293e-07,1.867237448893577e-05,9.893003797253842e-06,0.0002490784041780483,0.0,5.7111047902110205e-06,0.0,0.005789051073195056,0.0003239605213647598,7.226102298249293e-07,1.867237448893577e-05,9.893003797253842e-06,0.0002490784041780483,0.0,5.7111047902110205e-06,46.747916862991545,1.0,1.0,1.0,1.0,1.0,1.6211901308113186
0.05557554203423897,15.265596946594608,10.735345426868962,2.809980354297753,62.91819389024528,10,0.0011883475015407618,1.0,7.053238150955667e-07,1.528899353142531e-05,8.209330331469788e-06,0.00020828821723728718,0.0,4.736395876877043e-06,0.0,0.0057890546736327235,0.0003239605213647598,7.053238150955667e-07,1.528899353142531e-05,8.209330331469788e-06,0.00020828821723728718,0.0,4.736395876877043e-06,46.747916950115275,1.0,1.0,1.0,1.0,1.0,1.6212045249014526
0.05557657728337278,15.26721006650228,10.735345426868962,2.8100679542619735,62.92051702708002,11,0.0011883499881905808,1.0,6.731680635581966e-07,1.7800664815301035e-05,9.284480128116079e-06,0.0002313603124704331,0.0,5.352569602492087e-06,0.0,0.005789073164067327,0.0003239605213647598,6.731680635581966e-07,1.7800664815301035e-05,9.284480128116079e-06,0.0002313603124704331,0.0,5.352569602492087e-06,46.74791723523237,1.0,1.0,1.0,1.0,1.0,1.6212551365529753
0.05557554586966022,15.265583552954702,10.735345426868962,2.809979628116619,62.91817355515261,12,0.0011883503333679315,1.0,6.83770508552943e-07,1.8058546745556187e-05,9.134475050655193e-06,0.00022823965346562613,0.0,5.269059731851383e-06,0.0,0.005789054872290776,0.0003239605213647598,6.83770508552943e-07,1.8058546745556187e-05,9.134475050655193e-06,0.00022823965346562613,0.0,5.269059731851383e-06,46.74791697205164,1.0,1.0,1.0,1.0,1.0,1.6212041054275166
0.05557551765886984,15.265541620201454,10.735345426868962,2.809977353899635,62.918114055705466,13,0.0011883498761833182,1.0,6.867308250992422e-07,1.905435903365985e-05,9.773295535153063e-06,0.0002466607358581567,0.0,5.640479994514814e-06,0.0,0.00578905419323933,0.0003239605213647598,6.867308250992422e-07,1.905435903365985e-05,9.773295535153063e-06,0.0002466607358581567,0.0,5.640479994514814e-06,46.74791695856791,1.0,1.0,1.0,1.0,1.0,1.6212027911347138
