action_delta_mean,ee_acc_p2p,ee_acc_peak,ee_acc_rms,ee_jerk_rms,episode,final_error_m,hold_5mm,hold_action_delta_mean,hold_ee_acc_p2p,hold_ee_acc_rms,hold_ee_jerk_rms,hold_joint_acc_rms,hold_vibration_index,joint_acc_rms,mean_error_m,min_error_m,qualified_action_delta_mean,qualified_ee_acc_p2p,qualified_ee_acc_rms,qualified_ee_jerk_rms,qualified_joint_acc_rms,qualified_vibration_index,reward_sum,success_10mm,success_20mm,success_30mm,success_50mm,success_5mm,vibration_index
0.027501850264263064,14.488670002271022,13.697153970545418,2.4518377347760505,46.83526836380406,0,0.0009282457112974595,1.0,3.2813097180512635e-07,1.7182375993544987e-05,9.554077318597351e-06,0.000240985524620026,0.0,5.515888940383414e-06,0.0,0.005430883870158908,0.0009120678439281705,3.2813097180512635e-07,1.7182375993544987e-05,9.554077318597351e-06,0.000240985524620026,0.0,5.515888940383414e-06,46.80491667527779,1.0,1.0,1.0,1.0,1.0,1.413444442791095
0.027501846788893846,14.488670002271022,13.697153970545418,2.451838226777205,46.835276420045595,1,0.0009282454596597925,1.0,3.685050243746457e-07,1.708091462656576e-05,9.542051112063756e-06,0.00024228560802189183,0.0,5.508527819234301e-06,0.0,0.005430883229461226,0.0009120612991235683,3.685050243746457e-07,1.708091462656576e-05,9.542051112063756e-06,0.00024228560802189183,0.0,5.508527819234301e-06,46.80491668628975,1.0,1.0,1.0,1.0,1.0,1.4134447268799812
0.02750180971160416,14.488670002271022,13.697153970545418,2.4518371064208795,46.83525832681166,2,0.0009282459970445604,1.0,3.6771481706517856e-07,1.7139508799601267e-05,9.261566782779349e-06,0.00023938755126093152,0.0,5.3433882682299895e-06,0.0,0.005430884479579282,0.0009120698298490643,3.6771481706517856e-07,1.7139508799601267e-05,9.261566782779349e-06,0.00023938755126093152,0.0,5.3433882682299895e-06,46.8049166469754,1.0,1.0,1.0,1.0,1.0,1.4134440799567034
0.027501921430029743,14.488670002271022,13.697153970545418,2.4518392213766846,46.83529251253865,3,0.000928247282497244,1.0,4.339408346574852e-07,1.6981352361202206e-05,9.184774731030455e-06,0.00023498649542700394,0.0,5.295298719500231e-06,0.0,0.0054308848991854765,0.0009120543925860358,4.339408346574852e-07,1.6981352361202206e-05,9.184774731030455e-06,0.00023498649542700394,0.0,5.295298719500231e-06,46.804916637517316,1.0,1.0,1.0,1.0,1.0,1.4134453033807173
0.027501853510884192,14.488670002271022,13.697153970545418,2.4518378535590792,46.83527027829091,4,0.0009282473354846073,1.0,3.3692749066234317e-07,1.6510869676117677e-05,9.121119619399861e-06,0.00022801731467003784,0.0,5.2650425513199365e-06,0.0,0.005430883779019806,0.0009120615395213513,3.3692749066234317e-07,1.6510869676117677e-05,9.121119619399861e-06,0.00022801731467003784,0.0,5.2650425513199365e-06,46.80491667063202,1.0,1.0,1.0,1.0,1.0,1.4134445114371827
0.027501764389279787,14.488670002271022,13.697153970545418,2.451836194367851,46.83524306957985,5,0.0009282465958407602,1.0,3.8136297586628464e-07,1.7940147614409765e-05,9.777280002043729e-06,0.00024517576248745353,0.0,5.6448969424984154e-06,0.0,0.005430881793284586,0.0009120685096442772,3.8136297586628464e-07,1.7940147614409765e-05,9.777280002043729e-06,0.00024517576248745353,0.0,5.6448969424984154e-06,46.804916764091836,1.0,1.0,1.0,1.0,1.0,1.4134435521613486
0.02750179684525516,14.488670002271022,13.697153970545418,2.451836801469543,46.83525334310906,6,0.0009282488708594523,1.0,3.5832652206662337e-07,1.707353571336991e-05,9.3074521824428e-06,0.000239244253936939,0.0,5.373379154803987e-06,0.0,0.005430882399993444,0.0009120670466611967,3.5832652206662337e-07,1.707353571336991e-05,9.3074521824428e-06,0.000239244253936939,0.0,5.373379154803987e-06,46.804916731552055,1.0,1.0,1.0,1.0,1.0,1.4134439029399133
0.027501859935275416,14.488670002271022,13.697153970545418,2.4518384903076575,46.83528057529855,7,0.0009282463788242821,1.0,3.783572452989348e-07,1.7444539222593423e-05,9.852212798775678e-06,0.00024520456995681027,0.0,5.688124287455538e-06,0.0,0.005430883367909763,0.000912056778426637,3.783572452989348e-07,1.7444539222593423e-05,9.852212798775678e-06,0.00024520456995681027,0.0,5.688124287455538e-06,46.80491669020827,1.0,1.0,1.0,1.0,1.0,1.4134448790455318
0.027501837979704152,14.488670002271022,13.697153970545418,2.4518376540764417,46.83526706355186,8,0.0009282479944536865,1.0,3.264412393136128e-07,2.0022347048092967e-05,9.465640691943684e-06,0.00024065367907124497,0.0,5.462700108553907e-06,0.0,0.005430884382591794,0.0009120627849908344,3.264412393136128e-07,2.0022347048092967e-05,9.465640691943684e-06,0.00024065367907124497,0.0,5.462700108553907e-06,46.80491667181525,1.0,1.0,1.0,1.0,1.0,1.413444396766104
0.027501801047432814,14.488670002271022,13.697153970545418,2.451837221631009,46.83525988238995,9,0.0009282471045893576,1.0,3.377369653770862e-07,1.8006646384057434e-05,9.67895901985592e-06,0.0002466434459917772,0.0,5.588057919661219e-06,0.0,0.005430883282847889,0.0009120649618888933,3.377369653770862e-07,1.8006646384057434e-05,9.67895901985592e-06,0.0002466434459917772,0.0,5.588057919661219e-06,46.8049167297248,1.0,1.0,1.0,1.0,1.0,1.4134441460017866
0.02750184697251399,14.488670002271022,13.697153970545418,2.4518377440090724,46.83526895562824,10,0.0009282499853863955,1.0,3.623822164895917e-07,1.4726819836494661e-05,8.083863813213494e-06,0.0002075904189136826,0.0,4.665833674247302e-06,0.0,0.005430884669163675,0.0009120674265183057,3.623822164895917e-07,1.4726819836494661e-05,8.083863813213494e-06,0.0002075904189136826,0.0,4.665833674247302e-06,46.80491663438546,1.0,1.0,1.0,1.0,1.0,1.413444448276468
0.02750193937823105,14.488670002271022,13.697153970545418,2.451839584721534,46.835298959231864,11,0.0009282484837634388,1.0,3.4282913915903764e-07,1.6901602523642466e-05,9.398722174245418e-06,0.000235076557800406,0.0,5.4246947193523826e-06,0.0,0.005430886025424484,0.000912058505768099,3.4282913915903764e-07,1.6901602523642466e-05,9.398722174245418e-06,0.000235076557800406,0.0,5.4246947193523826e-06,46.804916559784175,1.0,1.0,1.0,1.0,1.0,1.4134455126881476
0.027501873511443266,14.488670002271022,13.697153970545418,2.451837744831064,46.835268216650256,12,0.0009282452403072886,1.0,4.023537094274026e-07,1.7843990278711045e-05,9.279214441624689e-06,0.00023200283025274004,0.0,5.352410810681706e-06,0.0,0.005430883825245192,0.0009120648503935225,4.023537094274026e-07,1.7843990278711045e-05,9.279214441624689e-06,0.00023200283025274004,0.0,5.352410810681706e-06,46.80491665873645,1.0,1.0,1.0,1.0,1.0,1.413444449526124
0.027501835469906737,14.488670002271022,13.697153970545418,2.451837673060284,46.8352678762393,13,0.0009282453565617635,1.0,3.109914526153146e-07,3.181806134857952e-05,1.170130012935149e-05,0.00028158098257338574,0.0,6.665609694489999e-06,0.0,0.00543088355082124,0.0009120646224115952,3.109914526153146e-07,3.181806134857952e-05,1.170130012935149e-05,0.00028158098257338574,0.0,6.665609694489999e-06,46.80491666960912,1.0,1.0,1.0,1.0,1.0,1.4134444102538386
