action_delta_mean,ee_acc_p2p,ee_acc_peak,ee_acc_rms,ee_jerk_rms,episode,final_error_m,hold_5mm,hold_action_delta_mean,hold_ee_acc_p2p,hold_ee_acc_rms,hold_ee_jerk_rms,hold_joint_acc_rms,hold_vibration_index,joint_acc_rms,mean_error_m,min_error_m,qualified_action_delta_mean,qualified_ee_acc_p2p,qualified_ee_acc_rms,qualified_ee_jerk_rms,qualified_joint_acc_rms,qualified_vibration_index,reward_sum,success_10mm,success_20mm,success_30mm,success_50mm,success_5mm,vibration_index
0.018754863760871814,0.11660447702942882,0.13901053881266415,0.019067704985949795,0.22768641436066128,0,0.0005109029034585232,1.0,0.00271960415021243,0.0038608929201093692,0.0014971967958769044,0.009756385237083328,0.0018280556632434138,0.0008463293819553212,0.03175432310668985,0.024846170195800914,7.284741426463626e-05,0.00271960415021243,0.0038608929201093692,0.0014971967958769044,0.009756385237083328,0.0018280556632434138,0.0008463293819553212,46.842786919850916,1.0,1.0,1.0,1.0,1.0,0.010999678968857191
0.019114190849257716,0.11782691625001072,0.13974581096858377,0.01953658979687675,0.2292541520333107,1,0.0004481954233883863,1.0,0.006857330473195802,0.005129772833475462,0.0030825093849244844,0.023979989190923697,0.004129907426000576,0.001212331000873824,0.032983816119192995,0.04778871695908968,0.0004481954233883863,0.006857330473195802,0.005129772833475462,0.0030825093849244844,0.023979989190923697,0.004129907426000576,0.001212331000873824,29.821665930476378,1.0,1.0,1.0,1.0,1.0,0.011268387595615008
0.02029865518131439,0.11582377054097279,0.14033604148873513,0.019221873839620433,0.22969896968523565,2,0.0006298445892405078,1.0,0.007310520609127319,0.006437520021563286,0.0029553870576546864,0.023153566437989898,0.004512943483727278,0.0013825311234993106,0.03297258492937405,0.048005033895323894,0.0002993691313557911,0.007310520609127319,0.006437520021563286,0.0029553870576546864,0.023153566437989898,0.004512943483727278,0.0013825311234993106,28.812076612052557,1.0,1.0,1.0,1.0,1.0,0.01108682601648906
0.018517174627230487,0.2029712087625786,0.2267908677390123,0.029025644045932174,0.3664878361822077,3,0.00041344254542055294,1.0,0.002261761455750955,0.0026607762312720173,0.0013501668534908816,0.010299996182890988,0.0013978472859510409,0.000592350797095725,0.032212061690594755,0.02784388905393393,0.00019569357268864107,0.002261761455750955,0.0026607762312720173,0.0013501668534908816,0.010299996182890988,0.0013978472859510409,0.000592350797095725,45.61742062146078,1.0,1.0,1.0,1.0,1.0,0.016741555378111672
0.019365600111004824,0.11621505353459138,0.14033604148873513,0.019345525065873833,0.2297996490373464,4,0.0011626561009464918,1.0,0.010631198221960653,0.010032479965672182,0.004702385503223416,0.028897494463540344,0.007148559384457219,0.002593321631626788,0.03305472798626913,0.058050182742340105,0.00035063024348802444,0.010631198221960653,0.010032479965672182,0.004702385503223416,0.028897494463540344,0.007148559384457219,0.002593321631626788,23.90003259544055,1.0,1.0,1.0,1.0,1.0,0.011160938086979636
0.014580823242486645,0.1968256960629289,0.20447324661100483,0.025855027337677788,0.34573448897194364,5,0.0001765270286032545,1.0,0.0005178450292552352,0.0005546067103135727,0.000263694568224547,0.0025740907068124764,0.00035371034169513966,0.00013526675988663275,0.027102862266598353,0.00346137070379976,0.00011610085214014147,0.0005178450292552352,0.0005546067103135727,0.000263694568224547,0.0025740907068124764,0.00035371034169513966,0.00013526675988663275,71.72047336011128,1.0,1.0,1.0,1.0,1.0,0.014913467331779723
0.018158055415412887,0.21550321456144766,0.22737821500089392,0.02942891976016845,0.3645710667642305,6,0.0006211666478780751,1.0,0.004155935034274413,0.0042603428112914805,0.002463544463388773,0.01437984311467199,0.002727250457000311,0.0012095728845591639,0.03396226992892578,0.04723517646891152,0.0001853791012584787,0.004155935034274413,0.0042603428112914805,0.002463544463388773,0.01437984311467199,0.002727250457000311,0.0012095728845591639,34.923439233630326,1.0,1.0,1.0,1.0,1.0,0.016976056208029014
0.019325356761655442,0.11790592287322696,0.13814720339006717,0.019212119716165807,0.22714156369339825,7,0.001198148772876973,1.0,0.008966316423572516,0.011373221742280757,0.004790986187478661,0.028748471092114918,0.0062329174916178455,0.0026584937238326076,0.030193643987636534,0.052299148129033524,8.928318897982568e-05,0.008966316423572516,0.011373221742280757,0.004790986187478661,0.028748471092114918,0.0062329174916178455,0.0026584937238326076,25.38797158408271,1.0,1.0,1.0,1.0,1.0,0.011083595662937333
0.01976051639538096,0.21051603864690344,0.22583806060537867,0.029071381983848364,0.36224545969538935,8,0.0003591246191278581,1.0,0.003617656710738236,0.0030210252756908175,0.0019806357661493416,0.01279594960596921,0.0022632677736019575,0.000690845157850779,0.03310670622273809,0.04092528504644258,0.00013058756462080805,0.003617656710738236,0.0030210252756908175,0.0019806357661493416,0.01279594960596921,0.0022632677736019575,0.000690845157850779,38.47337192555255,1.0,1.0,1.0,1.0,1.0,0.0167698659758621
0.017380860783783394,0.12903797130674452,0.13911624606178208,0.01890306107015957,0.22862535692018437,9,0.00016712127674320732,1.0,0.002340947512757972,0.0020550668078325967,0.0012210443244362599,0.00785950225390246,0.0014900663309921785,0.0005267920422578553,0.0346532003722511,0.021888563194946954,0.00012196686366587732,0.002340947512757972,0.0020550668078325967,0.0012210443244362599,0.00785950225390246,0.0014900663309921785,0.0005267920422578553,47.12552289872952,1.0,1.0,1.0,1.0,1.0,0.010904708227498363
0.01882886954954609,0.11672793701408782,0.13690284251604112,0.01966326899383575,0.2308809539526762,10,0.00034534689036661194,1.0,0.0025779528482991147,0.002612581001581763,0.001242598085316634,0.010140450611058402,0.0015602784113116011,0.0005114094882754108,0.02984098699174427,0.018643784908173668,0.0002127339084397383,0.0025779528482991147,0.002612581001581763,0.001242598085316634,0.010140450611058402,0.0015602784113116011,0.0005114094882754108,46.37783778683663,1.0,1.0,1.0,1.0,1.0,0.011344396084766258
