env,algo,strength,final_error_m_mean,success_5mm_mean,hold_5mm_mean,ee_acc_rms_mean,ee_acc_p2p_mean,ee_jerk_rms_mean,action_delta_mean_mean,vibration_index_mean,neighborhood_error_std_m_mean
Panda,TD3_HER_CURRICULUM,off,0.00011846399959679127,1.0,1.0,0.5052143531618953,2.7097406535965876,9.370257243329553,0.010947668780319202,0.2911321485889878,4.547628570503899e-05
Panda,TD3_HER_CURRICULUM,light,9.684878056746017e-05,1.0,1.0,0.5138769128373435,2.715701136740171,9.616852867238865,0.018927105246403255,0.29614799715017986,0.00022560277150082122
Panda,TD3_HER_CURRICULUM,medium,0.0001792533967890447,1.0,1.0,0.5663738012672808,2.782178620755387,11.050828532402594,0.03398852310037332,0.32645983527126166,0.0005709513980136811
Panda,TD3_HER_CURRICULUM,strong,0.0003226751779031428,1.0,1.0,0.7627178938138351,3.336376606095471,16.028164502959935,0.06016252815121703,0.4397043309288674,0.0011404660470483784
Panda,TD3,off,0.0014896990067228076,1.0,1.0,5.470194764855877,36.05159429100557,122.29063140152839,0.048993036462920435,3.1530328433072046,3.1836141216453974e-07
Panda,TD3,light,0.0013839433249463054,1.0,1.0,5.471930073125402,36.05159429100557,122.32845923091229,0.0630776714442265,3.1540560435887626,0.0001831905624413841
Panda,TD3,medium,0.0016495228265232767,1.0,1.0,5.479666737993074,36.05159429100557,122.51016173621511,0.08402760902347954,3.158559239635378,0.00045963392690798806
Panda,TD3,strong,0.002647751310399225,1.0,0.9666666666666668,5.513115535575007,36.05159429100557,123.3166162639072,0.12002853100669272,3.1779371613705383,0.0008861798603820102
IRB120,TD3_HER_CURRICULUM,off,0.00037840676951112043,1.0,1.0,0.007611445159724229,0.07132480619763422,0.09697766179046392,0.004422174002586352,0.00439262047017685,3.979449663069777e-05
IRB120,TD3_HER_CURRICULUM,light,0.00038202061758256474,1.0,1.0,0.009698151689460569,0.0736046013529991,0.15233823793613144,0.004656691537708132,0.005597097892253973,4.208445254695205e-05
IRB120,TD3_HER_CURRICULUM,medium,0.0003900861695229076,1.0,1.0,0.017618497700803745,0.08872781651244727,0.32592081533457207,0.005146341751033056,0.010169493543088543,4.702519746598755e-05
IRB120,TD3_HER_CURRICULUM,strong,0.0004077891799003306,1.0,1.0,0.03258552232839487,0.13803293097771369,0.6288200947218268,0.00599201392651146,0.018809646793924946,5.4977266834326653e-05
IRB120,TD3,off,0.26637513167380267,0.0,0.0,0.2105967778891181,3.1693737964098156,3.561818080031702,0.013446845658978366,0.12158795713098786,0.0028285871339949155
IRB120,TD3,light,0.26637513167380267,0.0,0.0,0.2105967778891181,3.1693737964098156,3.561818080031702,0.013446845658978366,0.12158795713098786,0.0028285871339949155
IRB120,TD3,medium,0.26637513167380267,0.0,0.0,0.2105967778891181,3.1693737964098156,3.561818080031702,0.013446845658978366,0.12158795713098786,0.0028285871339949155
IRB120,TD3,strong,0.26637513167380267,0.0,0.0,0.2105967778891181,3.1693737964098156,3.561818080031702,0.013446845658978366,0.12158795713098786,0.0028285871339949155
