method,task,final_error_m_mean,success_5mm_mean,hold_5mm_mean,ee_acc_rms_mean,ee_acc_p2p_mean,ee_jerk_rms_mean,action_delta_mean_mean,vibration_index_mean,neighborhood_error_std_m_mean
cartesian,fixed,0.00015330341273864635,1.0,1.0,0.5004958899519386,2.7123705007700267,9.935384207359345,0.03248585371998329,0.288086186573763,0.0005897500411893985
her_residual,fixed,0.0003383904221879652,1.0,1.0,0.44666757223435644,2.33825107927574,8.901552679890019,0.031812832954746385,0.257103956289436,0.0005062684592476573
cartesian,random,0.0001792533967890447,1.0,1.0,0.5663738012672808,2.782178620755387,11.050828532402594,0.03398852310037332,0.32645983527126166,0.0005709513980136811
her_residual,random,0.0003000643019061605,1.0,1.0,0.5050538727547582,2.4688945862518015,9.815714053003123,0.03162394262409405,0.2911293371022257,0.0005680362069917486
