action_delta_mean,ee_acc_p2p,ee_acc_peak,ee_acc_rms,ee_jerk_rms,episode,final_error_m,hold_5mm,joint_acc_rms,mean_error_m,min_error_m,reward_sum,success_10mm,success_20mm,success_30mm,success_50mm,success_5mm,vibration_index
0.08697739696573703,45.55350201624047,47.48138872803971,8.115299564588774,184.59858675193973,0,0.0010134285045359998,1.0,0.0,0.009629432219206296,0.0007895528560942732,44.06648015958107,1.0,1.0,1.0,1.0,1.0,4.677655769299963
0.08249619913147158,49.11040605403043,47.94570501188249,8.059721237906624,173.55655512921632,1,0.003581556646970741,1.0,0.0,0.019927840992290054,0.0021950507548027668,44.059442831557746,1.0,1.0,1.0,1.0,1.0,4.645360430390886
0.044629413660728603,14.988750475361394,13.425047561008553,2.6733648495043596,55.53529453450251,2,0.001341186825765705,1.0,0.0,0.004739888866659672,0.001252026659605979,47.535510296806244,1.0,1.0,1.0,1.0,1.0,1.5415962060394544
0.06728023062406584,42.03082557335375,34.07822068434222,5.794704353790038,126.00095364506295,3,0.0008838603282587018,1.0,0.0,0.010218546449836406,0.00042299024750262954,45.277972183972274,1.0,1.0,1.0,1.0,1.0,3.340008678332299
0.08461681530725275,44.76377774725396,34.06732076694083,6.325332471814815,132.84412798811448,4,0.0018004364323217915,1.0,0.0,0.00597698671783747,0.0009004346956975121,44.989651801400996,1.0,1.0,1.0,1.0,1.0,3.6468378654763165
0.04723999318090211,22.718672273393725,20.44877092870372,3.9889759182310542,71.68403538889515,5,0.0015779786027895805,1.0,0.0,0.008400935179723864,0.0011717991062428269,46.3633893184376,1.0,1.0,1.0,1.0,1.0,2.3001259000990695
0.03346056047872418,24.054272944522893,18.895670183845866,3.7870489642469454,76.14709010610417,6,0.0009634614351908335,1.0,0.0,0.005432223860033473,0.0008723985827093645,47.53411727282415,1.0,1.0,1.0,1.0,1.0,2.1838362039783457
0.04750189603095634,27.542714493438563,15.161320065710896,4.036243570879366,72.20494368071506,7,0.00150051878866771,1.0,0.0,0.007926641106380089,0.0014711283185800995,46.270648450559094,1.0,1.0,1.0,1.0,1.0,2.328745595195437
0.10171480359054817,42.09245748543577,41.79266742991127,7.6209421904930705,160.3546184402674,8,0.0019174192224907336,1.0,0.0,0.010517634300412136,0.001311102477609151,42.851248303568646,1.0,1.0,1.0,1.0,1.0,4.393589258102615
0.06956901132929505,47.66639721870795,38.73752449188881,6.603848683538846,156.45855444446858,9,0.0010056101421807948,1.0,0.0,0.00576312534632351,0.0009167956052459779,47.10677560912532,1.0,1.0,1.0,1.0,1.0,3.8064237283114317
