action_delta_mean,ee_acc_p2p,ee_acc_peak,ee_acc_rms,ee_jerk_rms,episode,final_error_m,hold_5mm,joint_acc_rms,mean_error_m,min_error_m,reward_sum,success_10mm,success_20mm,success_30mm,success_50mm,success_5mm,vibration_index
0.019582627215106393,7.422124489240408,7.378187509992167,1.1649834272654171,24.350046782560902,0,1.5865733798446212e-05,1.0,0.0,0.008212544459562111,7.672705221358987e-06,36.67243496314794,1.0,1.0,1.0,1.0,1.0,0.6713057478666928
0.02438036392584803,7.348867192646144,9.347194783227131,1.4664438416098153,28.429189670077278,1,1.5323650988377257e-05,1.0,0.0,0.02184781994668235,1.5323650988377257e-05,33.081754167788965,1.0,1.0,1.0,1.0,1.0,0.844997237784342
0.023649031786120822,7.618577870567716,9.42085052451048,1.5234619087677823,29.244666272535483,2,6.383626926678212e-05,1.0,0.0,0.03784088385998002,6.383626926678212e-05,28.351821446738434,1.0,1.0,1.0,1.0,1.0,0.8779534439199187
0.016381508696791256,7.6323033103336435,8.009987791085887,1.2431865840270897,26.343592507290552,3,0.00013251753588667013,1.0,0.0,0.007263276344651497,0.00013251753588667013,38.71851215978244,1.0,1.0,1.0,1.0,1.0,0.7163205523658814
0.020342699051891754,7.612574638624614,7.1879237525066095,1.1375306570464847,21.902635976888806,4,2.244122476720198e-05,1.0,0.0,0.023631715386166364,2.244122476720198e-05,30.980171299425024,1.0,1.0,1.0,1.0,1.0,0.6554921165075939
0.016687711830844627,9.311045322120474,7.805516592224654,1.2876630309917876,23.88753651553557,5,4.2154753782414996e-05,1.0,0.0,0.008318803069013607,4.2154753782414996e-05,37.67762593742093,1.0,1.0,1.0,1.0,1.0,0.7421188383990411
0.019666218609840018,8.38226194230029,10.281208751858358,1.5819551591449932,33.269759978428155,6,0.00010842655025152266,1.0,0.0,0.013158027049303477,0.00010842655025152266,35.4722465979675,1.0,1.0,1.0,1.0,1.0,0.9114861329754611
0.018843377936226167,17.55458144530838,13.765656335511217,2.0700311833886915,52.33894249342616,7,3.448147196877007e-05,1.0,0.0,0.011772179781804067,3.448147196877007e-05,35.513769520180475,1.0,1.0,1.0,1.0,1.0,1.1925904715881288
0.023078627834849236,16.65562790845514,15.099433195943622,2.2589097678022556,54.04480279113281,8,6.441733498436531e-05,1.0,0.0,0.011903697758309564,6.441733498436531e-05,36.51264616323783,1.0,1.0,1.0,1.0,1.0,1.3013787480045593
0.021600566187983318,18.97836531457354,15.922555306602138,2.5805959339765714,48.77060617091985,9,8.995018861556778e-05,1.0,0.0,0.014693279510856807,8.995018861556778e-05,36.418885289027855,1.0,1.0,1.0,1.0,1.0,1.487179305548757
0.018812506355956743,6.297872295881904,6.877969725879431,1.0819171515180175,20.823091036928957,10,1.1359804534256176e-05,1.0,0.0,0.012356238401471722,1.0891642771666916e-05,35.494892009859896,1.0,1.0,1.0,1.0,1.0,0.6234310485146457
0.01880658110260152,10.61899293589915,11.598321721397795,1.775610031442502,39.327775215635945,11,0.0001299453307017169,1.0,0.0,0.008113731961243877,0.0001299453307017169,38.684827247458806,1.0,1.0,1.0,1.0,1.0,1.0230445400395791
0.02661421887882027,7.5561947358901635,9.42085052451048,1.4707165531474196,29.583877922406423,12,2.1734343872758463e-05,1.0,0.0,0.028677083568296093,2.1734343872758463e-05,30.74381092920205,1.0,1.0,1.0,1.0,1.0,0.8474427279505148
0.01977653889170477,10.273672347673553,9.693569396849794,1.535924567912012,34.17556563127149,13,0.00011211709785351923,1.0,0.0,0.012902792269040307,0.00011211709785351923,35.474740438225396,1.0,1.0,1.0,1.0,1.0,0.8850672823851939
0.023089801878795335,19.116421395397534,15.922555306602138,2.649511292649284,50.96277859397289,14,5.601653209087487e-05,1.0,0.0,0.014811635532297201,5.568282831156062e-05,35.39665625648949,1.0,1.0,1.0,1.0,1.0,1.5270386872619688
0.016111377603886357,6.25678409189472,6.864264578468267,1.0875817487975257,20.729628458658823,15,2.2528068155349893e-05,1.0,0.0,0.010015251953377553,2.2528068155349893e-05,38.608382270807134,1.0,1.0,1.0,1.0,1.0,0.6267126845454257
0.02703455053627419,7.342738946442654,9.347194783227131,1.4684380135436526,29.072512041414598,16,1.9314581656196906e-05,1.0,0.0,0.027866004285622047,1.9314581656196906e-05,29.786531441075713,1.0,1.0,1.0,1.0,1.0,0.8461507185991864
0.01981074837209738,7.585180788139334,9.347194783227131,1.470706199898916,29.728915098767814,17,2.3243023128308768e-05,1.0,0.0,0.007462572501527229,2.266521258926597e-05,38.71785411967725,1.0,1.0,1.0,1.0,1.0,0.8474628445073144
0.019565799386064082,10.058855313059226,11.598321721397795,1.7636727956527998,38.315757446791416,18,7.526418563382692e-05,1.0,0.0,0.020340035698637734,6.789471278264745e-05,34.14240004494022,1.0,1.0,1.0,1.0,1.0,1.0161385222457564
0.014214998751177755,12.197686801050892,9.55314958974159,1.5681981252545087,29.338436385383464,19,8.430695251165721e-06,1.0,0.0,0.008817432376669343,8.430695251165721e-06,37.657860585980075,1.0,1.0,1.0,1.0,1.0,0.9037836574356187
0.0169929536449605,8.364284298343161,9.007982109133753,1.3895237437936396,30.66295733061436,20,5.923903066122393e-05,1.0,0.0,0.008861492731256694,5.923903066122393e-05,37.649273209407966,1.0,1.0,1.0,1.0,1.0,0.8006199069376787
0.020793260470683177,18.93662273010785,15.685145750095867,2.589079073546567,46.963527153818085,21,1.39617321336332e-05,1.0,0.0,0.016431740047259363,1.2468106985256093e-05,37.331937833004616,1.0,1.0,1.0,1.0,1.0,1.49216650934613
0.020513665903810464,6.8150291813594945,7.2884758273907275,1.1853180134850514,22.599046626554852,22,4.1069670668941684e-05,1.0,0.0,0.020565293465346038,4.1069670668941684e-05,35.14052501194654,1.0,1.0,1.0,1.0,1.0,0.6830995865419656
0.020918660537243814,10.431687479007806,11.598321721397795,1.7713130921256983,38.74655662537351,23,0.0001167656241154138,1.0,0.0,0.017093372273757897,0.0001167656241154138,35.27864105590591,1.0,1.0,1.0,1.0,1.0,1.0205588802807481
0.024345894936187745,7.966124981972389,9.42085052451048,1.5665784004154633,31.018816145076883,24,0.00013479765700411255,1.0,0.0,0.023998831462627563,0.00013479765700411255,33.978792756221054,1.0,1.0,1.0,1.0,1.0,0.9028911282513176
0.016859608677875004,19.971329053263492,15.685145750095867,2.666197023095217,49.539534583237604,25,0.004483896581049594,1.0,0.0,0.029518392726655168,0.004483896581049594,29.744665370989722,1.0,1.0,1.0,1.0,1.0,1.5367671708766675
0.02111755510064441,19.283736352742842,15.685145750095867,2.5788533334046293,47.51485103761912,26,0.00011064258497912645,1.0,0.0,0.015492232492883005,0.00011064258497912645,36.38312034931603,1.0,1.0,1.0,1.0,1.0,1.4862521916284
0.020005446437448077,18.764272995943216,15.685145750095867,2.588585082104039,47.19034708611431,27,7.557077067926186e-05,1.0,0.0,0.024064807142332403,7.557077067926186e-05,34.99465221815481,1.0,1.0,1.0,1.0,1.0,1.4918807665288683
0.01987868116972748,7.390359198018644,9.42085052451048,1.5274308819717692,29.334971259843243,28,4.487109637922745e-05,1.0,0.0,0.02807662864503679,4.487109637922745e-05,32.816947158723146,1.0,1.0,1.0,1.0,1.0,0.8802494157824433
0.020559875137228206,7.517637540711976,9.42085052451048,1.497456393609595,28.95458107966092,29,3.815608662206601e-05,1.0,0.0,0.02056621944920817,3.815608662206601e-05,34.15377899748029,1.0,1.0,1.0,1.0,1.0,0.8629110781639047
