action_delta_mean_mean,action_delta_mean_std,algo,disturbance,ee_acc_p2p_mean,ee_acc_p2p_std,ee_acc_peak_mean,ee_acc_peak_std,ee_acc_rms_mean,ee_acc_rms_std,ee_jerk_rms_mean,ee_jerk_rms_std,episode_mean,episode_std,final_error_m_mean,final_error_m_std,hold_5mm_mean,hold_5mm_std,hold_action_delta_mean_mean,hold_action_delta_mean_std,hold_ee_acc_p2p_mean,hold_ee_acc_p2p_std,hold_ee_acc_rms_mean,hold_ee_acc_rms_std,hold_ee_jerk_rms_mean,hold_ee_jerk_rms_std,hold_joint_acc_rms_mean,hold_joint_acc_rms_std,hold_vibration_index_mean,hold_vibration_index_std,joint_acc_rms_mean,joint_acc_rms_std,mean_error_m_mean,mean_error_m_std,min_error_m_mean,min_error_m_std,neighborhood_error_std_m_mean,neighborhood_error_std_m_std,qualified_action_delta_mean_mean,qualified_action_delta_mean_std,qualified_ee_acc_p2p_mean,qualified_ee_acc_p2p_std,qualified_ee_acc_rms_mean,qualified_ee_acc_rms_std,qualified_ee_jerk_rms_mean,qualified_ee_jerk_rms_std,qualified_joint_acc_rms_mean,qualified_joint_acc_rms_std,qualified_vibration_index_mean,qualified_vibration_index_std,reward_sum_mean,reward_sum_std,success_10mm_mean,success_10mm_std,success_20mm_mean,success_20mm_std,success_30mm_mean,success_30mm_std,success_50mm_mean,success_50mm_std,success_5mm_mean,success_5mm_std,task,vibration_index_mean,vibration_index_std
0.035838774815279785,6.938893903907228e-18,DDPG,off,18.205516064415026,0.0,19.23985420863345,3.552713678800501e-15,3.0732972773032534,0.0,69.17242358525439,0.0,14.5,8.65544144839919,0.0015555771279023532,6.505213034913027e-19,1.0,0.0,1.3375862256183667e-06,2.117582368135751e-22,1.4247394244250415e-06,0.0,5.836912443295117e-07,2.117582368135751e-22,9.764422423845252e-06,0.0,0.0,0.0,2.8355081285606634e-07,5.293955920339377e-23,0.0,0.0,0.005814179185574679,1.734723475976807e-18,0.0014551556573455084,6.505213034913027e-19,3.12411992547612e-08,6.617444900424222e-24,1.3375862256183667e-06,2.117582368135751e-22,1.4247394244250415e-06,0.0,5.836912443295117e-07,2.117582368135751e-22,9.764422423845252e-06,0.0,0.0,0.0,2.8355081285606634e-07,5.293955920339377e-23,46.783706281112536,1.4210854715202004e-14,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,fixed,1.7710238416084774,6.661338147750939e-16
0.048654379470517234,6.938893903907228e-18,TD3,off,13.560981979192203,0.0,9.71238190470027,1.7763568394002505e-15,2.217593854723389,0.0,44.75879315901851,0.0,14.5,8.65544144839919,0.0005822766280317214,1.0842021724855044e-19,1.0,0.0,7.158636325313279e-06,1.6940658945086007e-21,1.431353357159918e-06,2.117582368135751e-22,1.7033609315712461e-06,2.117582368135751e-22,1.1097377067610736e-05,5.082197683525802e-21,0.0,0.0,2.8654062242717105e-07,5.293955920339377e-23,0.0,0.0,0.005652251009178771,1.734723475976807e-18,0.0005822766280317214,1.0842021724855044e-19,1.7988663868922934e-07,5.293955920339377e-23,7.158636325313279e-06,1.6940658945086007e-21,1.431353357159918e-06,2.117582368135751e-22,1.7033609315712461e-06,2.117582368135751e-22,1.1097377067610736e-05,5.082197683525802e-21,0.0,0.0,2.8654062242717105e-07,5.293955920339377e-23,46.772820694287056,1.4210854715202004e-14,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,fixed,1.2791476116020755,2.220446049250313e-16
0.027501818509731567,6.938893903907228e-18,SAC,off,14.488670002271022,0.0,13.697153970545417,1.7763568394002505e-15,2.4518375161528785,0.0,46.83526304514778,7.105427357601002e-15,14.5,8.65544144839919,0.0009282469703772537,2.168404344971009e-19,1.0,0.0,5.379610250436481e-07,1.0587911840678754e-22,1.672323066213062e-06,4.235164736271502e-22,5.257673574838777e-07,0.0,1.4647797984713024e-05,3.3881317890172014e-21,0.0,0.0,2.901950333657163e-07,5.293955920339377e-23,0.0,0.0,0.005430881740700866,1.734723475976807e-18,0.0009120485235641203,2.168404344971009e-19,2.988233766457383e-09,1.2407709188295415e-24,5.379610250436481e-07,1.0587911840678754e-22,1.672323066213062e-06,4.235164736271502e-22,5.257673574838777e-07,0.0,1.4647797984713024e-05,3.3881317890172014e-21,0.0,0.0,2.901950333657163e-07,5.293955920339377e-23,46.80491678393129,7.105427357601002e-15,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,fixed,1.4134443189500887,6.661338147750939e-16
0.028118566534118497,3.469446951953614e-18,TQC,off,14.555684063529347,5.329070518200751e-15,13.765747037912332,3.552713678800501e-15,2.4678845127599494,8.881784197001252e-16,46.87601984565442,1.4210854715202004e-14,14.5,8.65544144839919,0.0018948908432302393,2.168404344971009e-19,1.0,0.0,2.5531250053430435e-07,1.0587911840678754e-22,5.941621892238029e-07,1.0587911840678754e-22,2.928770821330617e-07,1.0587911840678754e-22,8.796828068062511e-06,0.0,0.0,0.0,1.4513064427235977e-07,0.0,0.0,0.0,0.006305820271179188,1.734723475976807e-18,0.0018134698531738973,0.0,7.537872454702642e-09,1.6543612251060553e-24,2.5531250053430435e-07,1.0587911840678754e-22,5.941621892238029e-07,1.0587911840678754e-22,2.928770821330617e-07,1.0587911840678754e-22,8.796828068062511e-06,0.0,0.0,0.0,1.4513064427235977e-07,0.0,46.7589195995725,1.4210854715202004e-14,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,fixed,1.422701680928898,4.440892098500626e-16
0.04284813819652415,1.3877787807814457e-17,SAC_HER,off,12.354096748456403,3.552713678800501e-15,10.781305821381633,0.0,2.2433463684497195,4.440892098500626e-16,41.0918600621738,7.105427357601002e-15,14.5,8.65544144839919,0.0012966292300990506,2.168404344971009e-19,1.0,0.0,2.1872001500677676e-06,0.0,1.6269688709248272e-06,4.235164736271502e-22,6.62749093880298e-07,2.117582368135751e-22,1.2177553916995258e-05,3.3881317890172014e-21,0.0,0.0,2.7748971682444243e-07,0.0,0.0,0.0,0.005944644377558252,2.6020852139652106e-18,0.0012750341282136914,0.0,9.755297349409333e-09,1.6543612251060553e-24,2.1872001500677676e-06,0.0,1.6269688709248272e-06,4.235164736271502e-22,6.62749093880298e-07,2.117582368135751e-22,1.2177553916995258e-05,3.3881317890172014e-21,0.0,0.0,2.7748971682444243e-07,0.0,46.77005722015244,7.105427357601002e-15,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,fixed,1.293758169514185,2.220446049250313e-16
0.055575369979330956,2.0816681711721685e-17,TD3_HER,off,15.265356562223722,5.329070518200751e-15,10.735345426868959,3.552713678800501e-15,2.8099672865762817,0.0,62.917843148209464,1.4210854715202004e-14,14.5,8.65544144839919,0.0011883471808192942,0.0,1.0,0.0,6.753249123062808e-07,1.0587911840678754e-22,1.5643531411297993e-06,6.352747104407253e-22,5.07886217452584e-07,0.0,1.0182056368915705e-05,5.082197683525802e-21,0.0,0.0,2.779567289806017e-07,0.0,0.0,0.0,0.005789054193041041,8.673617379884035e-19,0.0003239605213647599,1.0842021724855044e-19,6.99039612879289e-09,8.271806125530277e-25,6.753249123062808e-07,1.0587911840678754e-22,1.5643531411297993e-06,6.352747104407253e-22,5.07886217452584e-07,0.0,1.0182056368915705e-05,5.082197683525802e-21,0.0,0.0,2.779567289806017e-07,0.0,46.74791687475027,1.4210854715202004e-14,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,fixed,1.6211969752612627,2.220446049250313e-16
0.038711439345773695,0.0,TQC_HER,off,12.69006178044585,5.329070518200751e-15,10.680711229524531,3.552713678800501e-15,2.322380355735485,0.0,43.113942074563525,7.105427357601002e-15,14.5,8.65544144839919,0.0027091773739442416,8.673617379884035e-19,1.0,0.0,2.1427708802856964e-05,6.776263578034403e-21,1.7967921710490618e-06,0.0,5.4472487816421864e-06,1.6940658945086007e-21,1.3270533667253396e-05,3.3881317890172014e-21,0.0,0.0,4.1297895195822893e-07,5.293955920339377e-23,0.0,0.0,0.007278631507806835,8.673617379884035e-19,0.0027091773739442416,8.673617379884035e-19,2.5405954853007483e-06,4.235164736271502e-22,2.1427708802856964e-05,6.776263578034403e-21,1.7967921710490618e-06,0.0,5.4472487816421864e-06,1.6940658945086007e-21,1.3270533667253396e-05,3.3881317890172014e-21,0.0,0.0,4.1297895195822893e-07,5.293955920339377e-23,46.699477818189436,1.4210854715202004e-14,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,fixed,1.3394633774886577,2.220446049250313e-16
0.007808073284828334,8.673617379884035e-19,TD3_HER_CURRICULUM,off,2.623369829409058,4.440892098500626e-16,2.6921815558011284,4.440892098500626e-16,0.42348530259303646,5.551115123125783e-17,7.8781799166480715,1.7763568394002505e-15,14.5,8.65544144839919,8.094395997017619e-05,2.710505431213761e-20,1.0,0.0,8.224932575716856e-05,0.0,0.0003374394715888537,1.0842021724855044e-19,0.0001332848327196355,0.0,0.0038001565913657973,1.3010426069826053e-18,0.0,0.0,6.037528155561422e-05,0.0,0.0,0.0,0.016120186212582936,0.0,8.094395997017619e-05,2.710505431213761e-20,4.524513239989581e-06,1.6940658945086007e-21,8.224932575716856e-05,0.0,0.0003374394715888537,1.0842021724855044e-19,0.0001332848327196355,0.0,0.0038001565913657973,1.3010426069826053e-18,0.0,0.0,6.037528155561422e-05,0.0,32.27459998605377,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,fixed,0.24402413625797512,0.0
0.03980713105150756,0.009505132047561073,DDPG,off,36.944070725196994,7.655901723976334,34.224679542599446,9.130194975926269,5.663066955953105,1.462798470589481,125.14251699128721,30.015046290104056,14.5,8.65544144839919,0.002118506308286143,0.0010384871919946386,0.9666666666666667,0.17950549357115012,6.26950706759819e-06,9.78539568908996e-06,4.9534735872260313e-05,0.0001430979389024553,1.909807332354812e-05,5.277901747004224e-05,0.0004995997972505855,0.001444115540541947,0.0,0.0,1.0332841118279477e-05,3.0013612406756134e-05,0.0,0.0,0.010029899700296498,0.004027406310406613,0.0017412100423024053,0.0007728789693943275,1.610354275425468e-07,1.7317571516073598e-07,0.00534338575720443,0.02874021376659035,0.005386650986009092,0.028733261261544296,0.005356214323460381,0.028738106162468687,0.005836716047387418,0.02869182723056008,0.0053371162501368325,0.028741250601822543,0.005347449091255113,0.028739551345411448,44.36181119499734,8.497863908189856,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9666666666666667,0.17950549357115012,random,3.2638183386146173,0.8430064190304019
0.04876806863283785,0.014148097824743548,TD3,off,38.38075944210361,6.963203086569458,34.98885470206315,8.911685698608478,5.969500910639017,1.3492003108534192,131.05854609485692,25.26747432311393,14.5,8.65544144839919,0.0017007072338681218,0.0005999951657345891,1.0,0.0,3.397463935773874e-05,0.00014247225917076405,0.00045454031666733745,0.002226968332418975,0.00017771479345093626,0.0008670848930641915,0.004137310640023832,0.020570742485618007,0.0,0.0,0.00010165679403660104,0.0005006226217029649,0.0,0.0,0.009716964118004212,0.0038367067450066333,0.001409758673183135,0.0005937457677093762,8.087455742980263e-07,2.511759984944954e-06,3.397463935773874e-05,0.00014247225917076405,0.00045454031666733745,0.002226968332418975,0.00017771479345093626,0.0008670848930641915,0.004137310640023832,0.020570742485618007,0.0,0.0,0.00010165679403660104,0.0005006226217029649,45.6945017839929,1.5933638393909368,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,random,3.44076293954879,0.7774811585818652
