condition,task,metric,result,full,best_baseline,best_baseline_algo
自由空间,fixed,final_error_m_mean,strict,8.094395997017619e-05,0.0005822766280317,TD3
自由空间,fixed,min_error_m_mean,strict,8.094395997017619e-05,0.0003239605213647,TD3_HER
自由空间,fixed,ee_acc_rms_mean,strict,0.4234853025930364,2.217593854723389,TD3
自由空间,fixed,ee_acc_peak_mean,strict,2.6921815558011284,9.71238190470027,TD3
自由空间,fixed,ee_acc_p2p_mean,strict,2.623369829409058,12.354096748456405,SAC_HER
自由空间,fixed,ee_jerk_rms_mean,strict,7.878179916648071,41.0918600621738,SAC_HER
自由空间,fixed,action_delta_mean_mean,strict,0.0078080732848283,0.0275018185097315,SAC
自由空间,fixed,vibration_index_mean,strict,0.2440241362579751,1.2791476116020757,TD3
自由空间,fixed,hold_5mm_mean,tie,1.0,1.0,DDPG
自由空间,random,final_error_m_mean,strict,0.0002561551021052,0.0012992247872026,TQC
自由空间,random,min_error_m_mean,strict,0.0002152490952229,0.0008884604344863,TQC
自由空间,random,ee_acc_rms_mean,strict,0.4893131811106636,4.751509418111395,SAC
自由空间,random,ee_acc_peak_mean,strict,3.047711504514046,28.54382669468558,SAC
自由空间,random,ee_acc_p2p_mean,strict,2.5354406807603804,30.698668468163827,SAC
自由空间,random,ee_jerk_rms_mean,strict,8.867025922952086,99.26606372542363,SAC
自由空间,random,action_delta_mean_mean,strict,0.0104716532175193,0.0359293457973169,SAC
自由空间,random,vibration_index_mean,strict,0.2819771008269966,2.7385128668780245,SAC
接触变力,fixed,final_error_m_mean,strict,8.094567948749933e-05,0.0005822773716919,TD3
接触变力,fixed,min_error_m_mean,strict,8.094567948749933e-05,0.0003239605213647,TD3_HER
接触变力,fixed,ee_acc_rms_mean,strict,0.4234844856269253,2.2176003496635186,TD3
接触变力,fixed,ee_acc_peak_mean,strict,2.6921815558011284,9.71238190470027,TD3
接触变力,fixed,ee_acc_p2p_mean,strict,2.623369829409058,12.354096748456405,SAC_HER
接触变力,fixed,ee_jerk_rms_mean,strict,7.878182226309208,41.0919850529906,SAC_HER
接触变力,fixed,action_delta_mean_mean,strict,0.0078080733931223,0.0275018396798944,SAC
接触变力,fixed,vibration_index_mean,strict,0.2440236607871239,1.2791513638382148,TD3
接触变力,fixed,hold_5mm_mean,tie,1.0,1.0,DDPG
接触变力,random,final_error_m_mean,strict,0.0002561300661463,0.0012996215080296,TQC
接触变力,random,min_error_m_mean,strict,0.0002156207714374,0.0008881868323241,TQC
接触变力,random,ee_acc_rms_mean,strict,0.4893758212423004,4.751539462213145,SAC
接触变力,random,ee_acc_peak_mean,strict,3.047711504514046,28.54382669468558,SAC
接触变力,random,ee_acc_p2p_mean,strict,2.5354140426389984,30.69865923496154,SAC
接触变力,random,ee_jerk_rms_mean,strict,8.868295146549155,99.26708777569714,SAC
接触变力,random,action_delta_mean_mean,strict,0.0104715151113543,0.0359296232994222,SAC
接触变力,random,vibration_index_mean,strict,0.2820132730811692,2.7385302475397943,SAC
