action_delta_mean,ee_acc_p2p,ee_acc_peak,ee_acc_rms,ee_jerk_rms,episode,final_error_m,hold_5mm,joint_acc_rms,mean_error_m,min_error_m,reward_sum,success_10mm,success_20mm,success_30mm,success_50mm,success_5mm,vibration_index
0.09885774596556396,30.391347661781648,26.275630017534965,5.3037747764993615,141.31720613170322,0,0.0004390372932225427,1.0,0.0,0.003670197619627605,0.00020543605754287512,46.71867653459999,1.0,1.0,1.0,1.0,1.0,3.058521805093574
0.17141878227008964,49.677484395764225,35.45092832958188,7.070086678346447,162.17256748928824,1,0.00134327462498613,1.0,0.0,0.011237922194000629,0.0012704547926907263,44.20607489684097,1.0,1.0,1.0,1.0,1.0,4.0769812805617995
0.09756057618955194,50.63451114609086,52.04928988757693,8.797364524935494,182.09387609649585,2,0.0005533773034383919,1.0,0.0,0.017278258048042443,0.00025134270545455403,43.27119101050486,1.0,1.0,1.0,1.0,1.0,5.07060909006261
0.07811419560534885,45.44952361238835,30.4915725594011,5.09517183970791,127.95009660071958,3,0.001879973974838915,1.0,0.0,0.00518111838530399,0.0011549628403311784,46.74118225200102,1.0,1.0,1.0,1.0,1.0,2.936631463787325
0.13501063211223935,56.18591136029811,34.91379342919134,7.641891464603818,164.31373715826007,4,0.0016924541063151365,1.0,0.0,0.010790578949278144,0.001024964376374798,44.281347822385634,1.0,1.0,1.0,1.0,1.0,4.4076200319184595
0.11103290414523964,46.030377517342075,48.39007311047478,8.049151554759609,207.29545211039397,5,0.0014507136316088088,1.0,0.0,0.005310249009420482,0.0007476143483727001,47.660053646166695,1.0,1.0,1.0,1.0,1.0,4.639100962271793
0.09504304541647546,43.430760875350046,35.809998979915086,6.213503161449641,133.19326962003402,6,0.0023558980302458396,1.0,0.0,0.008564695004719293,0.0022816767838036572,46.54855230284135,1.0,1.0,1.0,1.0,1.0,3.581636744256819
0.06514644710718502,25.090474270003686,23.33289787921489,4.730834405397295,107.98079040325575,7,0.00085414231001005,1.0,0.0,0.005454535378924062,0.0006736924070681375,47.770167086797144,1.0,1.0,1.0,1.0,1.0,2.728153584339182
0.10463437741757697,30.993712771055456,21.269911937795836,5.481041821049005,131.0510533611803,8,0.002083565056452925,1.0,0.0,0.009541776243213815,0.0006455131422621338,45.47947963018684,1.0,1.0,1.0,1.0,1.0,3.1621899212256395
0.10909591443864414,42.12974181826115,41.80759670469538,7.8060131029093105,160.80650040294893,9,0.002976623893400739,1.0,0.0,0.01282346406546563,0.0026127724149630238,42.41520819480455,1.0,1.0,1.0,1.0,1.0,4.500586620723322
0.09331201949343826,50.98447571195651,43.36430630020286,7.661570062090439,196.13904093913308,10,0.0011528122158214545,1.0,0.0,0.0061235089847355905,0.0010944316507178313,46.62294944945349,1.0,1.0,1.0,1.0,1.0,4.416594151326938
0.08849795904556156,52.11016624010996,34.96577131130925,6.547015361593673,156.43190149213402,11,0.0020133940497553157,1.0,0.0,0.005917499718731417,0.0017272113144356277,45.64617857543322,1.0,1.0,1.0,1.0,1.0,3.774736091392554
