action_delta_mean,ee_acc_p2p,ee_acc_peak,ee_acc_rms,ee_jerk_rms,episode,final_error_m,hold_5mm,joint_acc_rms,mean_error_m,min_error_m,reward_sum,success_10mm,success_20mm,success_30mm,success_50mm,success_5mm,vibration_index
0.0949043052802637,26.68742018927538,26.275630017534965,4.431964705607041,103.73491447476395,0,0.00046793867378236095,1.0,0.0,0.012926910525596113,5.401925306011204e-05,29.394591242146465,1.0,1.0,1.0,1.0,1.0,2.554470260228923
0.10862988504919581,39.20123740602958,35.45092832958188,5.930522575569265,122.65113090651715,1,0.0012934905106846708,1.0,0.0,0.02222844636065898,0.0006497514862200853,28.01930611035579,1.0,1.0,1.0,1.0,1.0,3.4181021928966615
0.08276353136907544,44.953989490086116,52.04928988757693,8.483318515167996,172.77282624524628,2,0.0005468299289145985,1.0,0.0,0.024120235008339593,0.00045661333876724155,29.01119432678964,1.0,1.0,1.0,1.0,1.0,4.888977407110689
0.07544321733556146,41.179135906303415,30.4915725594011,4.933087478224335,113.92749482239893,3,0.001926278462958563,1.0,0.0,0.010810358129202887,0.0016704170210682045,31.51512552676493,1.0,1.0,1.0,1.0,1.0,2.842884318590819
0.09361665751651155,40.084392033069285,34.91379342919134,6.184114715759999,120.3664116477454,4,0.0016995293594044669,1.0,0.0,0.019939824040125897,0.0015464892610973025,29.125376422805754,1.0,1.0,1.0,1.0,1.0,3.564925642367779
0.07928911272745727,42.91371059482086,48.39007311047478,7.826512506491853,184.2438052924049,5,0.0014426770944052465,1.0,0.0,0.011342485603179936,0.0005786092907797935,33.4895880032434,1.0,1.0,1.0,1.0,1.0,4.510329472952317
0.07932669029806418,37.521065921187464,35.809998979915086,5.684733572011546,120.38265072395276,6,0.002281404231074349,1.0,0.0,0.01498755876595174,0.002207062861380067,31.350084874873033,1.0,1.0,1.0,1.0,1.0,3.275815951344353
0.0878371147890916,23.469478068817125,23.33289787921489,4.66492751640559,96.00725254871378,7,0.0008844530401879275,1.0,0.0,0.014439366680258912,0.0005762166901916737,28.34313938666892,1.0,1.0,1.0,1.0,1.0,2.690056623133189
0.10222560303193033,23.7097918450051,21.269911937795836,3.8945265943102028,74.33184726811385,8,0.002039702699657861,1.0,0.0,0.021368819957037946,0.0015409343472327591,26.999253129127922,1.0,1.0,1.0,1.0,1.0,2.2452791223563198
0.11335443410902879,47.014038797354594,41.80759670469538,7.985399923106976,156.2276693895496,9,0.0029524817265045695,1.0,0.0,0.022763915493204195,0.002647262612111955,25.945024937182005,1.0,1.0,1.0,1.0,1.0,4.604295595472323
0.07882920781984942,45.16894655634929,43.36430630020286,6.893571056664523,165.74603754560377,10,0.0012241131109396047,1.0,0.0,0.01281776626362904,0.0007029891149673892,29.444298672574277,1.0,1.0,1.0,1.0,1.0,3.9724296945689415
0.08694912366265425,41.659790859901534,34.96577131130925,5.841023073230809,128.09943141280468,11,0.0020124836535189423,1.0,0.0,0.012938331453286716,0.0017685484282936642,31.405900239499285,1.0,1.0,1.0,1.0,1.0,3.366502628045686
0.10438962016855241,40.20719131714299,35.037359047634276,6.051762688553753,119.59925058377947,12,0.0023159381280473575,1.0,0.0,0.02443702306770562,0.002122754247581021,25.9111619710699,1.0,1.0,1.0,1.0,1.0,3.4883531180045946
0.13764548829691284,34.99373005281618,38.07818557482474,6.537511563193044,128.05234107558414,13,0.001339038969070252,1.0,0.0,0.027175958874062097,0.0007801425838646298,23.691496715914315,1.0,1.0,1.0,1.0,1.0,3.768271086988583
0.12986931537527474,36.928038491360866,41.77827263850571,7.225440329539839,143.5203239072427,14,0.0023565518066439657,1.0,0.0,0.025491175380046197,0.0013485790438881322,23.802464975363055,1.0,1.0,1.0,1.0,1.0,4.164895705921216
0.07510687731730697,42.35176607665886,42.98773312418525,7.083128457783603,152.62425731469324,15,0.0010692673099288545,1.0,0.0,0.011770512204239587,0.0004887461339087799,32.49236020713046,1.0,1.0,1.0,1.0,1.0,4.082200562045095
0.11504295134266004,38.65171127377897,35.089766675603684,6.055167007532047,123.20504259502833,16,0.001649613132352694,1.0,0.0,0.024983183245853125,0.0010131139850934772,26.88348206807591,1.0,1.0,1.0,1.0,1.0,3.4903047338241375
0.07632642905370488,45.02812056949468,50.71466554071084,8.155656511786749,198.71145750847754,17,0.0009115940177828369,1.0,0.0,0.009968684993819192,0.0008225453990375991,33.55782052059765,1.0,1.0,1.0,1.0,1.0,4.69991160685198
0.06939469097646386,36.24515574771711,33.291899177269016,5.426621351164478,111.43815762773735,18,0.002158591311177155,1.0,0.0,0.016632933359691057,0.002052065183873414,31.309965387236232,1.0,1.0,1.0,1.0,1.0,3.127388484470849
0.0763473797731611,42.19863687504153,35.081987402206884,6.0912985677119815,119.30439524293752,19,0.0019941666365549753,1.0,0.0,0.012111443488953936,0.0014245062093896906,32.46319473866494,1.0,1.0,1.0,1.0,1.0,3.51120242871725
0.06909243725880118,38.25534080325639,34.26242413161164,5.571299351916782,119.3100181555614,20,0.001219328780558974,1.0,0.0,0.012258743996770575,0.001066019573722635,33.452774894329266,1.0,1.0,1.0,1.0,1.0,3.2107393920319733
0.11667679457781215,40.675514011801326,42.82931622424759,7.64789793530589,152.24779432938965,21,0.003938851214693255,1.0,0.0,0.02391896592642743,0.0034748591188450474,24.90846632628598,1.0,1.0,1.0,1.0,1.0,4.408852141985888
0.08063085603646912,43.20852714033137,41.44599864600145,6.962185441935611,135.34401784741365,22,0.0017281309668500783,1.0,0.0,0.017515081992033554,0.0015293685663016418,30.259869540401272,1.0,1.0,1.0,1.0,1.0,4.01276877796542
0.07248738854840361,38.41621450303099,31.771123275046715,5.190028528671651,111.31863859401334,23,0.0021186181200552523,1.0,0.0,0.014473711387922542,0.0015797476202989542,32.393058038307394,1.0,1.0,1.0,1.0,1.0,2.991060901165996
