action_delta_mean,ee_acc_p2p,ee_acc_peak,ee_acc_rms,ee_jerk_rms,episode,final_error_m,hold_5mm,joint_acc_rms,mean_error_m,min_error_m,reward_sum,success_10mm,success_20mm,success_30mm,success_50mm,success_5mm,vibration_index
0.037727698169268686,14.864717383834416,11.014785916596264,2.6145512418871064,51.34475860397765,0,0.0010930624891237434,1.0,0.0,0.00566724695916908,0.0010865400087569526,46.51025723039761,1.0,1.0,1.0,1.0,1.0,1.5082237461087253
0.03772770633895164,14.86471735881228,11.014785916596264,2.6145512405126183,51.34475799942762,1,0.0010930659132253077,1.0,0.0,0.005667247852857506,0.0010865440128639682,46.510257205505354,1.0,1.0,1.0,1.0,1.0,1.5082237434981165
0.037727691940893045,14.864716607640972,11.014785916596264,2.6145511761237668,51.34475661126974,2,0.0010930640611457483,1.0,0.0,0.005667247722035956,0.001086547571455268,46.51025718764996,1.0,1.0,1.0,1.0,1.0,1.5082237074362965
0.037727699159929295,14.864717206358025,11.014785916596264,2.614551225934888,51.34475779046616,3,0.001093063480364096,1.0,0.0,0.005667246626234118,0.0010865458438183771,46.510257239904234,1.0,1.0,1.0,1.0,1.0,1.5082237358360524
0.03772769802552049,14.864717401572964,11.014785916596264,2.6145512442242573,51.344758074141446,4,0.0010930611414154093,1.0,0.0,0.0056672474715197966,0.001086544180737427,46.51025721765901,1.0,1.0,1.0,1.0,1.0,1.5082237470496322
0.03772770579563503,14.864717520085001,11.014785916596264,2.614551254513447,51.34475857709569,5,0.0010930632644678868,1.0,0.0,0.005667246844623088,0.0010865443908574354,46.51025720406935,1.0,1.0,1.0,1.0,1.0,1.5082237522643416
0.037727709264834,14.864717373762948,11.014785916596264,2.614551241830892,51.34475858384849,6,0.0010930653517235362,1.0,0.0,0.005667246962213957,0.0010865449158906865,46.51025722698943,1.0,1.0,1.0,1.0,1.0,1.5082237449122042
0.03772768961392056,14.864717685816668,11.014785916596264,2.6145512676559344,51.34475890508189,7,0.0010930631835191962,1.0,0.0,0.005667246846820762,0.0010865455117084351,46.510257246897446,1.0,1.0,1.0,1.0,1.0,1.5082237600450783
0.03772769787985319,14.864716835940119,11.014785916596264,2.6145511951926603,51.34475704516684,8,0.0010930622992555063,1.0,0.0,0.005667246779782776,0.0010865462403332302,46.5102572121944,1.0,1.0,1.0,1.0,1.0,1.5082237181815694
0.037727684108042184,14.864716862858536,11.014785916596264,2.614551196869994,51.34475664748814,9,0.0010930651196640582,1.0,0.0,0.005667247757562729,0.0010865456668298784,46.510257223256225,1.0,1.0,1.0,1.0,1.0,1.5082237203327387
0.037727686910056527,14.86471687857843,11.014785916596264,2.6145511989960655,51.344756569976035,10,0.0010930631127259963,1.0,0.0,0.00566724683155057,0.0010865455366036135,46.51025724940427,1.0,1.0,1.0,1.0,1.0,1.5082237200548871
0.037727698877170354,14.864716686939074,11.014785916596264,2.6145511826967742,51.34475680256494,11,0.0010930650330570725,1.0,0.0,0.005667247483758464,0.0010865464650986344,46.510257189205454,1.0,1.0,1.0,1.0,1.0,1.508223710474003
0.03772770072613016,14.864717504107304,11.014785916596264,2.614551252770699,51.34475997847135,12,0.0010930642083457798,1.0,0.0,0.0056672479661309255,0.001086547166908959,46.51025719807734,1.0,1.0,1.0,1.0,1.0,1.5082237514039911
0.03772769725421891,14.86471800638175,11.014785916596264,2.6145512940392015,51.34476007568649,13,0.0010930614827079116,1.0,0.0,0.005667246766076303,0.001086544769488528,46.51025722343401,1.0,1.0,1.0,1.0,1.0,1.5082237735146211
0.03772770084167109,14.86471762276573,11.014785916596264,2.6145512622166724,51.344758972238495,14,0.0010930634878506993,1.0,0.0,0.005667246539444262,0.0010865447682199079,46.51025722659094,1.0,1.0,1.0,1.0,1.0,1.5082237572937631
0.037727700723091194,14.86471759850342,11.014785916596264,2.6145512589273197,51.344758842805994,15,0.0010930641371725055,1.0,0.0,0.005667247389731558,0.0010865447050737072,46.51025719622385,1.0,1.0,1.0,1.0,1.0,1.508223754767832
0.0377276995245365,14.864717493443532,11.014785916596264,2.6145512505599973,51.34475863887998,16,0.0010930613179268803,1.0,0.0,0.005667247870315627,0.0010865458540731156,46.51025722305391,1.0,1.0,1.0,1.0,1.0,1.508223749754009
0.03772770815478342,14.86471735890937,11.014785916596264,2.6145512409766134,51.34475803900881,17,0.0010930679309656946,1.0,0.0,0.005667247337688765,0.0010865443053599247,46.51025720769132,1.0,1.0,1.0,1.0,1.0,1.5082237450364613
0.03772768726839317,14.864717603323685,11.014785916596264,2.6145512599621177,51.34475882280375,18,0.0010930637863661844,1.0,0.0,0.005667246952318889,0.001086545715390484,46.51025724639345,1.0,1.0,1.0,1.0,1.0,1.508223755647109
0.037727685518765035,14.864716578947867,11.014785916596264,2.61455117338781,51.34475627445137,19,0.0010930633898504983,1.0,0.0,0.00566724780390867,0.001086547251139836,46.51025719982839,1.0,1.0,1.0,1.0,1.0,1.5082237044448736
0.03772769204665925,14.864717230269148,11.014785916596264,2.614551227968451,51.34475773413579,20,0.001093064965616301,1.0,0.0,0.005667247463112615,0.001086545719599155,46.51025722545064,1.0,1.0,1.0,1.0,1.0,1.508223737209434
0.03772770428131759,14.864717318930088,11.014785916596264,2.6145512372384463,51.34475826105175,21,0.0010930594579920128,1.0,0.0,0.005667247143517585,0.0010865447071298562,46.51025720966936,1.0,1.0,1.0,1.0,1.0,1.5082237421250362
0.03772769399447421,14.864717499271046,11.014785916596264,2.6145512527624475,51.34475857956126,22,0.0010930643367166224,1.0,0.0,0.005667247635997396,0.0010865455215919094,46.51025722690082,1.0,1.0,1.0,1.0,1.0,1.5082237514399768
0.03772770414819936,14.864717642765216,11.014785916596264,2.614551262183817,51.34475850645538,23,0.0010930621955511052,1.0,0.0,0.005667247379930677,0.0010865441315038983,46.510257235668384,1.0,1.0,1.0,1.0,1.0,1.5082237564159158
0.03772769286463328,14.864717925259836,11.014785916596264,2.6145512861401534,51.34475982761826,24,0.0010930645765273293,1.0,0.0,0.005667246612384514,0.0010865398716812984,46.51025726287731,1.0,1.0,1.0,1.0,1.0,1.5082237701125805
0.03772769998040327,14.864717213597643,11.014785916596264,2.6145512261060646,51.34475831543045,25,0.0010930618673163698,1.0,0.0,0.005667247303792144,0.0010865464564169763,46.510257206108534,1.0,1.0,1.0,1.0,1.0,1.5082237361108115
0.03772770085316035,14.864717383367818,11.014785916596264,2.6145512426261943,51.344757945833905,26,0.0010930651023872305,1.0,0.0,0.005667247833658698,0.0010865440948633635,46.51025723078084,1.0,1.0,1.0,1.0,1.0,1.5082237459720589
0.03772769380767922,14.864717163791944,11.014785916596264,2.6145512241702744,51.34475717798595,27,0.0010930652444990769,1.0,0.0,0.005667247098801154,0.001086544956427834,46.51025722627273,1.0,1.0,1.0,1.0,1.0,1.5082237351535739
0.03772769142932053,14.864716620107858,11.014785916596264,2.6145511760852918,51.344755694474046,28,0.0010930616480551466,1.0,0.0,0.005667247012400094,0.0010865453346419805,46.51025719630945,1.0,1.0,1.0,1.0,1.0,1.5082237069315563
0.03772770197438761,14.86471782342546,11.014785916596264,2.6145512784391824,51.34475993266243,29,0.0010930634695881956,1.0,0.0,0.0056672475008694104,0.0010865449790984786,46.51025724034298,1.0,1.0,1.0,1.0,1.0,1.5082237659047204
